id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
19,3.2,3.333333,3.333333,3,3.333333,3.833333,3.6,2.666667,3.666667,2.833333,3.666667,3,3.35,3.057143,3.014706,3.020833,2.666667,3.323944,3.266667,2.884058,3.277778,2.680556,2.972222,2.783333,66,37,66,61,40,52,40,71,56,22,28,46,54,66,85,68,88,93,64,62,81,51,92,65
20,3.4,2.333333,2.333333,3.25,2.166667,3.5,3.8,2.5,3.166667,3,2.166667,2.6,3.457143,2.658537,2.736842,3.607143,2.238095,3.547619,3.542857,3.121951,2.625,2.857143,2.857143,2.411765,83,2,18,98,0,93,86,91,3,45,12,11,69,3,18,81,8,77,80,53,52,64,1,34
21,2.6,2.333333,2.333333,2.5,3.166667,3.333333,3.8,2,3.166667,2.666667,2.833333,2.8,3.285714,3.380952,2.904762,2.821429,2.976191,3.071429,3.542857,2.333333,3.238095,2.880952,3.119048,2.764706,56,84,46,34,85,15,86,7,51,50,60,45,13,3,18,34,80,67,80,18,52,37,30,47
22,,,,,,,,,,,,,2.5,2.916667,2.666667,2.875,2.833333,2.416667,3.1,2.666667,2,2.583333,2.727273,2.1,1,17,10,43,67,0,20,41,0,12,6,1,,,,,,,,,,,,
23,3.2,2.833333,2.166667,3,2,3.166667,3.8,2.333333,2.333333,2.666667,2.833333,3,3.571429,3.380952,2.904762,3.035714,2.833333,3.571429,3.514286,2.904762,3.285714,2.976191,3.261905,2.885714,93,84,46,62,67,95,81,72,60,65,83,57,54,24,12,68,3,54,80,39,10,37,30,65
24,2.4,2.666667,2.833333,3.25,3,2.666667,2.2,2.5,3,2.833333,2.5,2.8,3.24,2.933333,3.366667,3.578947,2.9,3.033333,3.36,3.166667,3.566667,3.366667,3.233333,3.36,49,20,97,98,77,12,55,94,90,98,79,97,5,13,51,81,71,14,1,53,42,51,11,47
25,2.8,3.333333,3.166667,3,2.833333,3,3,2.333333,3.166667,3.333333,3.333333,2.8,3.116667,3.169014,2.777778,2.833333,2.611111,3.25,3.474576,2.791667,2.805556,2.722222,3.013889,2.683333,31,54,24,36,29,39,75,57,12,26,35,35,23,66,79,68,56,38,23,39,52,81,75,47
26,3.8,2.666667,3,3,2.666667,3.333333,3.6,3.166667,3.5,3,3.333333,2.8,3.461539,3.141026,3,2.865385,2.858974,3.576923,3.507692,2.974359,3.282051,2.98718,3.24359,2.969231,86,50,61,42,71,95,79,82,59,68,81,69,89,13,65,68,39,67,64,89,72,64,75,47
27,3.6,3.166667,2.5,2.25,2.666667,2.833333,3.6,2.5,2.666667,3.333333,3.5,2.8,3.353846,2.884615,2.641026,2.673077,2.666667,3.346154,3.338462,3.038461,2.75641,2.961539,2.961539,2.6,68,15,8,20,40,57,53,88,9,61,27,25,81,50,29,19,39,23,64,53,26,81,86,47
28,2.8,2.333333,2.833333,3.25,2.333333,3.166667,3.2,2.333333,2.333333,2.833333,2.833333,2.2,3.288889,2.962963,2.925926,3.305556,2.888889,3.12963,3.133333,3.074074,3.37037,3.203704,3,2.911111,57,25,50,88,75,23,24,89,71,89,32,61,23,3,51,81,14,54,38,39,10,51,30,10
