id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
19,3.2,3.333333,3.333333,3,3.333333,3.833333,3.6,2.666667,3.666667,2.833333,3.666667,3,3.35,3.057143,3.014706,3.020833,2.666667,3.323944,3.266667,2.884058,3.277778,2.680556,2.972222,2.783333,66,34,64,58,34,52,39,69,59,17,27,40,55,69,85,70,89,94,67,62,85,53,94,63
20,3.4,2.333333,2.333333,3.25,2.166667,3.5,3.8,2.5,3.166667,3,2.166667,2.6,3.457143,2.658537,2.736842,3.607143,2.238095,3.547619,3.542857,3.121951,2.625,2.857143,2.857143,2.411765,84,2,15,99,0,92,87,90,1,40,13,8,68,4,17,82,10,80,78,54,56,63,0,35
21,2.6,2.333333,2.333333,2.5,3.166667,3.333333,3.8,2,3.166667,2.666667,2.833333,2.8,3.285714,3.380952,2.904762,2.821429,2.976191,3.071429,3.542857,2.333333,3.238095,2.880952,3.119048,2.764706,55,81,46,34,86,12,87,7,52,43,60,38,14,4,17,40,80,68,78,20,56,31,30,47
22,,,,,,,,,,,,,2.5,2.916667,2.666667,2.875,2.833333,2.416667,3.1,2.666667,2,2.583333,2.727273,2.1,0,17,6,42,64,0,20,41,0,5,4,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,3.2,2.833333,2.166667,3,2,3.166667,3.8,2.333333,2.333333,2.666667,2.833333,3,3.571429,3.380952,2.904762,3.035714,2.833333,3.571429,3.514286,2.904762,3.285714,2.976191,3.261905,2.885714,94,81,46,60,64,94,81,70,62,60,78,52,55,23,10,70,5,55,78,41,14,31,30,63
24,2.4,2.666667,2.833333,3.25,3,2.666667,2.2,2.5,3,2.833333,2.5,2.8,3.24,2.933333,3.366667,3.578947,2.9,3.033333,3.36,3.166667,3.566667,3.366667,3.233333,3.36,45,18,98,98,76,10,57,93,91,99,75,95,5,12,53,82,71,15,2,54,45,53,9,47
25,2.8,3.333333,3.166667,3,2.833333,3,3,2.333333,3.166667,3.333333,3.333333,2.8,3.116667,3.169014,2.777778,2.833333,2.611111,3.25,3.474576,2.791667,2.805556,2.722222,3.013889,2.683333,30,53,21,35,24,37,77,54,10,23,35,25,23,69,76,70,61,39,26,41,56,84,76,47
26,3.8,2.666667,3,3,2.666667,3.333333,3.6,3.166667,3.5,3,3.333333,2.8,3.461539,3.141026,3,2.865385,2.858974,3.576923,3.507692,2.974359,3.282051,2.98718,3.24359,2.969231,85,47,59,41,70,94,80,78,61,62,76,67,91,12,66,70,39,68,67,89,78,63,76,47
27,3.6,3.166667,2.5,2.25,2.666667,2.833333,3.6,2.5,2.666667,3.333333,3.5,2.8,3.353846,2.884615,2.641026,2.673077,2.666667,3.346154,3.338462,3.038461,2.75641,2.961539,2.961539,2.6,67,15,4,15,34,57,53,84,8,55,26,18,80,54,31,20,39,22,67,54,29,84,87,47
28,2.8,2.333333,2.833333,3.25,2.333333,3.166667,3.2,2.333333,2.333333,2.833333,2.833333,2.2,3.288889,2.962963,2.925926,3.305556,2.888889,3.12963,3.133333,3.074074,3.37037,3.203704,3,2.911111,55,23,50,89,73,21,24,87,74,86,31,58,23,4,53,82,19,55,42,41,14,53,30,12
